Datetime,Price,Market Cap,Volume
2025-02-18 09:04:14.216000,96283.17216937791,1908490650085.8066,24508238057.184044
2025-02-18 10:04:04.967000,96049.47160409925,1904046037424.449,26096614359.668068
2025-02-18 11:03:52.652000,96188.68435164474,1907104377569.762,25045459000.283855
2025-02-18 12:04:58.619000,96057.16749618895,1904245963530.7961,22429739812.983974
2025-02-18 13:04:36.443000,95607.02526683104,1895956701200.4434,26040128292.972603
2025-02-18 14:05:29.280000,95364.76732236886,1889241813703.9863,25300860826.96148
2025-02-18 15:09:27.434000,95318.63732379173,1892745954033.7168,27526363005.884895
2025-02-18 16:04:26.644000,95189.2521445793,1887032955306.9792,26177428059.82858
2025-02-18 17:00:45.871000,95719.26020920448,1897493799338.512,24886394429.79508
2025-02-18 18:06:02.748000,95713.43307222998,1897630585725.563,26396320338.18101
2025-02-18 19:00:37.611000,95626.63610131448,1896192948701.3086,27449839956.989994
2025-02-18 20:04:36.561000,96171.78850952118,1906323441406.7812,26673694929.554764
2025-02-18 21:04:52.860000,96130.53749194527,1906133360819.651,25030894362.224125
2025-02-18 22:04:52.776000,95503.68783507988,1896898562290.0122,29235986518.58622
2025-02-18 23:07:39.716000,95429.11009120086,1894533818571.3313,25685879102.903564
2025-02-19 00:04:41.400000,94580.67364083909,1878586017230.3213,26817783093.64636
2025-02-19 01:04:52.675000,94035.03488149004,1864600918866.9185,29663930096.04931
2025-02-19 02:04:43.717000,93902.52254777655,1861853420548.082,32132410196.123608
2025-02-19 03:01:48.970000,94054.50815083837,1864838907070.936,34101140216.555668
2025-02-19 04:04:45.201000,94134.52184393156,1867643808993.5408,32986706955.637634
2025-02-19 05:02:04.924000,94953.73212288553,1880690210103.8596,33505515646.569016
2025-02-19 06:05:35.383000,95259.61791981726,1888325489338.8987,34991516686.618744
2025-02-19 07:03:23.374000,95613.70786478418,1894275982332.9355,38189980861.72503
2025-02-19 08:03:28.072000,95280.7459174621,1889793198686.9233,38936860217.42859
2025-02-19 09:04:50.779000,95317.50472754847,1889992401029.912,34879430429.27512
2025-02-19 10:04:27.107000,95727.74865208809,1898377795893.8975,38543959790.93307
2025-02-19 11:09:39.896000,95665.49231937547,1897529353943.5144,36491031913.63244
2025-02-19 12:04:21.217000,95176.94369782117,1887937612780.523,39329749750.40558
2025-02-19 13:04:30.541000,95224.12571943826,1888390402396.2327,36274564455.40661
2025-02-19 14:04:54.369000,95586.35220471295,1894537843509.7378,37233916037.78116
2025-02-19 15:09:25.956000,95680.7581641533,1897065571011.2246,34539851587.89084
2025-02-19 16:04:36.363000,95590.61583351126,1895732341562.598,38125459673.794876
2025-02-19 17:04:49.901000,95949.78606201638,1901648932018.4246,36020241395.91935
2025-02-19 18:04:19.894000,96302.84963715746,1909318107832.998,37707528876.34131
2025-02-19 19:06:38.418000,96414.46175112732,1911482961269.004,34825591307.41759
2025-02-19 20:04:30.798000,96194.7062967688,1907843635566.6633,36226773685.114914
2025-02-19 21:04:39.998000,96235.09041058479,1909619825634.4277,38383692515.84453
2025-02-19 22:04:21.303000,95728.44469201894,1899331425241.6099,37738984181.19528
2025-02-19 23:00:33.141000,95946.65997661931,1902451729953.6853,36273354831.27524
2025-02-20 00:04:53.114000,96051.7756014956,1904944441747.9736,36267619661.35819
2025-02-20 01:04:53.124000,96386.72652871323,1912032458712.961,30660707333.55004
2025-02-20 02:07:06.834000,95622.78488625766,1895838284936.8271,30138401759.685772
2025-02-20 03:04:39.239000,96157.47075255743,1906808332047.865,28773738346.312393
2025-02-20 04:04:44.679000,96137.40416742311,1906528494782.15,31141800823.488235
2025-02-20 05:05:34.349000,96423.82994264697,1909866291395.9446,27485073802.78284
2025-02-20 06:03:42.693000,96540.84301900618,1913818170181.2195,23038836937.136932
2025-02-20 07:06:16.528000,96631.9764747056,1916017581316.9956,27829799240.490257
2025-02-20 08:04:55.780000,96836.56956169584,1920542151574.443,24414022788.20056
2025-02-20 09:03:02.861000,96753.44819523895,1917538976920.8442,20293158129.001976
2025-02-20 10:00:38.172000,97179.21961256368,1928270018982.5393,23700632395.144863
2025-02-20 11:04:44.986000,97060.52011571353,1924386417060.0134,28459190012.16188
2025-02-20 12:00:35.014000,97183.01235981267,1926422715080.2847,24510229798.47329
2025-02-20 13:05:01.256000,96922.7147115594,1922756955276.1147,28206271207.55033
